Date : 2025-12-09 16:01:46
Directory : c:\laragon\www\MinaPorcoIntegrador\resources
Total : 102 files,  7857 codes, 79 comments, 660 blanks, all 8596 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\index.blade.php                                     | PHP        |         74 |          0 |          2 |         76 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\application-logo.blade.php                      | PHP        |          3 |          0 |          1 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\auth-session-status.blade.php                   | PHP        |          6 |          0 |          2 |          8 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\confirm-modal.blade.php                         | PHP        |         64 |          8 |         11 |         83 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\danger-button.blade.php                         | PHP        |          3 |          0 |          1 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\dropdown-link.blade.php                         | PHP        |          1 |          0 |          1 |          2 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\dropdown.blade.php                              | PHP        |         30 |          0 |          5 |         35 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\input-error.blade.php                           | PHP        |          8 |          0 |          2 |         10 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\input-label.blade.php                           | PHP        |          4 |          0 |          2 |          6 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\modal.blade.php                                 | PHP        |         11 |          0 |          3 |         14 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\nav-link.blade.php                              | PHP        |          9 |          0 |          3 |         12 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\notification.blade.php                          | PHP        |        151 |          6 |         24 |        181 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\primary-button.blade.php                        | PHP        |          3 |          0 |          1 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\responsive-nav-link.blade.php                   | PHP        |          9 |          0 |          3 |         12 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\secondary-button.blade.php                      | PHP        |          3 |          0 |          1 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\components\text-input.blade.php                            | PHP        |          2 |          0 |          2 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\control-grupal\index.blade.php                             | PHP        |        442 |         18 |         34 |        494 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard.blade.php                                        | PHP        |         56 |          1 |          5 |         62 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\alerts.blade.php                        | PHP        |        119 |          2 |          6 |        127 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\detail_modal.blade.php                  | PHP        |         16 |          0 |          1 |         17 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\quick_links.blade.php                   | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\recent_incidentes.blade.php             | PHP        |         32 |          0 |          1 |         33 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\recent_trabajadores.blade.php           | PHP        |         34 |          0 |          1 |         35 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\stats.blade.php                         | PHP        |         53 |          0 |          1 |         54 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\admin-area.blade.php                       | PHP        |         47 |          0 |          3 |         50 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\admin-principal.blade.php                  | PHP        |        123 |          0 |          4 |        127 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\tecnico.blade.php                          | PHP        |        194 |          0 |          5 |        199 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\trabajador.blade.php                       | PHP        |         68 |          0 |          0 |         68 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\emails\credenciales.blade.php                              | PHP        |         20 |          0 |          8 |         28 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\firebase-sensors\create.blade.php                          | PHP        |         63 |          0 |          4 |         67 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\firebase-sensors\index.blade.php                           | PHP        |        166 |          3 |         10 |        179 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\firebase-sensors\show.blade.php                            | PHP        |        237 |          2 |         13 |        252 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\incidentes\index.blade.php                                 | PHP        |         65 |          0 |          3 |         68 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts\app.blade.php                                      | PHP        |        153 |          9 |         31 |        193 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts\material-fixed-plugins.blade.php                   | PHP        |          7 |          0 |          0 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts\material-footers.blade.php                         | PHP        |          7 |          0 |          0 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts\material-navigations.blade.php                     | PHP        |         24 |          0 |          0 |         24 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts\material-sidebar.blade.php                         | PHP        |        130 |          0 |         14 |        144 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts_brezze\app.blade.php                               | PHP        |         31 |          0 |          6 |         37 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts_brezze\guest.blade.php                             | PHP        |         26 |          0 |          5 |         31 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\layouts_brezze\navigation.blade.php                        | PHP        |         88 |          0 |         13 |        101 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\index.blade.php                                         | PHP        |         93 |          0 |          6 |         99 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\ingreso.blade.php                                       | PHP        |         29 |          0 |          5 |         34 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\reportar.blade.php                                      | PHP        |         38 |          0 |          3 |         41 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\reportes.blade.php                                      | PHP        |        100 |          0 |          4 |        104 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\reportes_pdf.blade.php                                  | PHP        |         65 |          0 |          3 |         68 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\salida.blade.php                                        | PHP        |         29 |          0 |          5 |         34 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\mi\solicitar.blade.php                                     | PHP        |         37 |          0 |          3 |         40 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\modules\index.blade.php                                    | PHP        |         82 |          0 |         10 |         92 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\modules\mine-2d.blade.php                                  | PHP        |        128 |          0 |          7 |        135 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\profile\change-password.blade.php                          | PHP        |         91 |          0 |         13 |        104 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\profile\edit.blade.php                                     | PHP        |        106 |          0 |         18 |        124 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\profile\partials\delete-user-form.blade.php                | PHP        |         45 |          0 |         11 |         56 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\profile\partials\update-password-form.blade.php            | PHP        |         41 |          0 |          8 |         49 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\profile\partials\update-profile-information-form.blade.php | PHP        |         54 |          0 |         11 |         65 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\completo.blade.php                                | PHP        |        198 |          0 |         12 |        210 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\incidentes.blade.php                              | PHP        |         99 |          0 |          4 |        103 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\index.blade.php                                   | PHP        |        226 |          0 |         11 |        237 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\ingresos.blade.php                                | PHP        |         93 |          0 |          4 |         97 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\pdf\completo.blade.php                            | PHP        |        134 |          0 |         11 |        145 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\pdf\incidentes.blade.php                          | PHP        |         77 |          0 |          4 |         81 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\pdf\ingresos.blade.php                            | PHP        |         76 |          0 |          4 |         80 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\pdf\trabajadores.blade.php                        | PHP        |         77 |          0 |          4 |         81 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\sensores.blade.php                                | PHP        |        111 |          0 |          4 |        115 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\reportes\trabajadores.blade.php                            | PHP        |        101 |          0 |          4 |        105 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\sensor-dashboard.blade.php                                 | PHP        |        509 |         11 |         25 |        545 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\sensors\devices\create.blade.php                           | PHP        |         79 |          0 |          7 |         86 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\sensors\devices\edit.blade.php                             | PHP        |         46 |          0 |          7 |         53 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\sensors\devices\index.blade.php                            | PHP        |         57 |          0 |          4 |         61 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\sensors\index.blade.php                                    | PHP        |         46 |          0 |          4 |         50 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\system\status.blade.php                                    | PHP        |        310 |          0 |         28 |        338 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\tool_requests\index.blade.php                              | PHP        |         52 |          0 |          3 |         55 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\clasificacion.blade.php                       | PHP        |        109 |          0 |          4 |        113 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\create.blade.php                              | PHP        |        134 |          0 |          6 |        140 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\edit.blade.php                                | PHP        |        124 |          0 |          6 |        130 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\index.blade.php                               | PHP        |        110 |          1 |         14 |        125 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\partials\actions.blade.php                    | PHP        |         10 |         12 |          0 |         22 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\partials\import.blade.php                     | PHP        |          1 |          0 |          1 |          2 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\partials\modals.blade.php                     | PHP        |         93 |          0 |          3 |         96 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\partials\search.blade.php                     | PHP        |         35 |          0 |          1 |         36 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\partials\table.blade.php                      | PHP        |         75 |          0 |          7 |         82 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\trabajadores\pdf.blade.php                                 | PHP        |         59 |          0 |          3 |         62 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\welcome.blade.php                                          | PHP        |        188 |          0 |         10 |        198 |
| Total                                                                                                         |            |      7,857 |         79 |        660 |      8,596 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
